Date,Order,Artist,Track,Correct
2021-10-21,1,No Doubt,BND - Album Version,1
2021-10-21,2,The Impressions,Fool for You,1
2021-10-21,3,Hugh Masekela,Grazing In The Grass,1
2021-10-21,4,The Dells,Stay In My Corner,1
2021-10-21,5,Johnnie Taylor,I'm Trying,1
2021-10-21,6,"Otis Redding, Carla Thomas",New Year's Resolution,1
2021-10-21,7,The Temptations,Could Never Love Another (After Loving You),1
2021-10-21,8,Aretha Franklin,(Sweet Sweet Baby) Since You've Been Gone,1
2021-10-21,9,"Archie Bell & The Drells, The Drells","Soldier's Prayer, 1967",1
2021-10-21,10,The Delfonics,You Are Gone,1
2021-10-21,11,The 5th Dimension,California Soul,1
2021-10-21,12,James Brown,"Baby, Baby, Baby, Baby",1
2021-10-21,13,Clarence Carter,Funky Fever,1
2021-10-21,14,Cliff Nobles,The Horse,1
2021-10-21,15,"Diana Ross, The Supremes",Keep An Eye,1
2021-10-21,16,"Smokey Robinson, The Miracles",Heard It Through The Grapevine,1
2021-10-21,17,The Intruders,Friends No More,1
2021-10-21,18,"Marvin Gaye, Tammi Terrell","Little Ole Boy, Little Ole Girl",1
2021-10-21,19,"Pegay Scott, Jo Jo Benson",Lover's Holiday,1
2021-10-21,20,Jerry Butler,Only The Strong Survive,1
2021-10-21,21,Eddie Floyd,Don't Tell Your Mama,1
2021-10-21,22,O.C. Smith,If Leave You Now,1
2021-10-21,23,Stevie Wonder,You Met Your Match,1
2021-10-21,24,"Gladys Knight, The Pips",It Should Have Been Me,1
2021-10-21,25,Sam & Dave,Wrap It Up,1
2021-10-21,26,The O'Kaysions,Girl Watcher,1
2021-10-21,27,The Sweet Inspirations,Sweet inspiration,1
2021-10-21,28,Al Green,Hot Wire,1
2021-10-21,29,Sly & The Family Stone,I'll Never Fall in Love Again,1
2021-10-21,30,"Martha Reeves, The Vandellas","Honey Chile",1
2021-10-21,31,"Bobby Taylor, The Vancouvers","Fading Away",1
2021-10-21,32,Shorty Long,Sing What You Wanna,1
2021-10-21,33,Percy Sledge,Baby Help Me,1
2021-10-21,34,The Esquires,And Get Away,1
2021-10-21,35,Etta James,Tell Mama,1
2021-10-21,36,"Booker T., The MG's","Soul Limbo",1
2021-10-21,37,Wilson Pickett,She's Lookin’ Good,1
2021-10-21,38,Jr. Walker & The All Stars,Hip City - Pt.1,1
2021-10-21,39,Jr. Walker & The All Stars,Hip City - Pt.2,1
2021-10-21,40,The Marvelettes,I'm Gonna Hold On As Long As I Can,1
2021-10-21,41,Mable John,Able Mable,1
2021-10-21,42,I Monster,The Blue Wrath,1
