Date,Order,Artist,Track,Correct
2021-10-22,1,No Doubt,BND - Album Version,1
2021-10-22,2,The Rolling Stones,Rip This Joint,1
2021-10-22,3,The Stooges,Down on the Street,1
2021-10-22,4,Bob Seger & The Silver Bullet Band,Katmandu,1
2021-10-22,5,Mott The Hoople,Sweet Jane,1
2021-10-22,6,The Who,Drowned,1
2021-10-22,7,Led Zeppelin,Custard Pie,1
2021-10-22,8,Black Sabbath,After Forever,1
2021-10-22,9,Aerosmith,Nobody's Fault,1
2021-10-22,10,Deep Purple,Never Before,1
2021-10-22,11,Bad Company,Movin’ On,1
2021-10-22,12,The Kinks,Jack the Idiot Dunce,1
2021-10-22,13,David Bowie,Where Have All the Good Times Gone,1
2021-10-22,14,Roxy Music,She Sells,1
2021-10-22,15,Supertramp,Sister Moonshine,1
2021-10-22,16,Phil Lynott,Solo in Soho,1
2021-10-22,17,Gary Moore,What Would You Rather Bee Or A Wasp,1
2021-10-22,18,Bryan Ferry,Take Me To The River,1
2021-10-22,19,Alice Cooper,Man with the Golden Gun,1
2021-10-22,20,Ry Cooder,Tamp' Em up Solid,1
2021-10-22,21,Van Morrison,Jackie Wilson Said (I'm in Heaven When You Smile),1
2021-10-22,22,Uriah Heep,One Way or Another,1
2021-10-22,23,Lou Reed,Vicious,1
2021-10-22,24,"Manfred Mann's Earth Band",Circles,1
2021-10-22,25,10cc,From Rochdale To Ocho Rios,1
2021-10-22,26,lan Hunter,Restless Youth,1
2021-10-22,27,Blue Öyster Cult,ME 262,1
2021-10-22,28,"Southside Johnny, The Asbury Jukes",Got to Be a Better Way Home (2016 Remaster),1
2021-10-22,29,Rory Gallagher,Shin Kicker,1
2021-10-22,30,Lynyrd Skynyrd,Gimme Three Steps,1
2021-10-22,31,I Monster,The Blue Wrath,1
