Date,Order,Artist,Track,Correct
2021-04-17,1,No Doubt,BND,1
2021-04-17,2,Bonnie Tyler,Total Eclipse of the Heart,1
2021-04-17,3,Alphaville,Forever Young,1
2021-04-17,4,Abba,Super Trouper,1
2021-04-17,5,Roxette,The Look,1
2021-04-17,6,Fine Young Cannibals,She Drives Me Crazy,1
2021-04-17,7,The Bangles,Manic Monday,1
2021-04-17,8,"The Communards, Sarah Jane Morris",Don't Leave Me This Way (with Sarah Jane Morris),1
2021-04-17,9,The Romantics,What I Like About You,1
2021-04-17,10,Stray Cats,Rock This Town,1
2021-04-17,11,Cyndi Lauper,True Colors,1
2021-04-17,12,The Cars,Drive,1
2021-04-17,13,"Patrick Swayze, Wendy Fraser",She's Like the Wind (feat. Wendy Fraser),1
2021-04-17,14,Loverboy,Working for the Weekend,1
2021-04-17,15,Men At Work,Who Can It Be Now?,1
2021-04-17,16,A Flock Of Seagulls,Ran (So Far Away),1
2021-04-17,17,Talking Heads,Burning Down the House,1
2021-04-17,18,Billy Idol,White Wedding - Pt. 1,1
2021-04-17,19,Guns N’ Roses,Paradise City,1
2021-04-17,20,The Clash,Should I Stay or Should I Go,1
2021-04-17,21,INXS,Need You Tonight,1
2021-04-17,22,Midnight Oil,Beds Are Burning,1
2021-04-17,23,George Michael,Faith,1
2021-04-17,24,Phil Collins,Sussudio,1
2021-04-17,25,Paul Simon,You Can Call Me Al,1
2021-04-17,26,Steve Winwood,Higher Love,1
2021-04-17,27,"Prince, The Revolution",Raspberry Beret,1
2021-04-17,28,Madonna,Like a Virgin,1
2021-04-17,29,Duran Duran,Notorious,1
2021-04-17,30,Spandau Ballet,True,1
2021-04-17,31,Tears For Fears,Head Over Heels / Broken,1
2021-04-17,32,I Monster,The Blue Wrath,1
