Date,Order,Artist,Track,Correct
2021-10-02,1,No Doubt,BND - Album Version,1
2021-10-02,2,"Prince, The New Power Generation",Thunder,1
2021-10-02,3,The Time,Jerk Out #3,1
2021-10-02,4,Michael Jackson,Why You Wanna Trip on Me,1
2021-10-02,5,Janet Jackson,The Knowledge,1
2021-10-02,6,Martika,Martika's Kitchen,1
2021-10-02,7,Wendy & Lisa,Satisfaction,1
2021-10-02,8,"Tom Jones, Art Of Noise",Kiss,1
2021-10-02,9,Shella E.,The Belle of St. Mark,1
2021-10-02,10,Nona Hendryx,Baby Go-Go,1
2021-10-02,11,André Cymone,kelly's Eyes,1
2021-10-02,12,Paula Abdul,U,1
2021-10-02,13,Kate Bush,Why Should I Love You?,1
2021-10-02,14,Sheena Easton,101,1
2021-10-02,15,Madonna,Love Song,1
2021-10-02,16,"Kid Creole, The Coconuts",The Sex of It,1
2021-10-02,17,"Jesse Johnson, Sly Stone",Crazay,1
2021-10-02,18,Iggy Pop,Candy,1
2021-10-02,19,INXS,New Sensation,1
2021-10-02,20,Fine Young Cannibals,Good Thing,1
2021-10-02,21,U2,Bullet The Blue Sky,1
2021-10-02,22,The Police,"When the World Is Running Down, You Make the Best of What's Still Around",1
2021-10-02,23,The Who,Eminence Front,1
2021-10-02,24,Pink Floyd,Learning to Fly,1
2021-10-02,25,The Cult,Fire Woman,1
2021-10-02,26,R.E.M.,Turn You Inside-Out,1
2021-10-02,27,The Alarm,Rescue Me,1
2021-10-02,28,I Monster,The Blue Wrath,1
