Date,Order,Artist,Track,Correct
2021-04-16,1,No Doubt,BND,1
2021-04-16,2,Prince,When You Were Mine,1
2021-04-16,3,Judith Hill,Turn Up,1
2021-04-16,4,The Time,My Drawers,1
2021-04-16,5,Prince,Could Never Take The Place Of Your Man,1
2021-04-16,6,Shella E.,The Belle of St. Mark,1
2021-04-16,7,Sidibe,I'm Only Dreaming,1
2021-04-16,8,"George Clinton, Prince",We Can Funk,1
2021-04-16,9,Reliable Source Music,Quiz Night,1
2021-04-16,10,Michael Jackson,Wanna Be Startin’ Somethin’,1
2021-04-16,11,Yum-Yum,Nile Rodgers,1
2021-04-16,12,Steptoe And Son,London Music Works,1
2021-04-16,13,Controversy,Prince,1
2021-04-16,14,The Bill,Mark Ayres,1
2021-04-16,15,Word Up,Cameo,1
2021-04-16,16,The Saint,The Royal Philharmonic Concert Orchestra,1
2021-04-16,17,Master Blaster (Jammin’),Stevie Wonder,1
2021-04-16,18,More Bounce to the Ounce,Zapp,1
2021-04-16,19,U Bring The Freak Out,Rick James,1
2021-04-16,20,Oh Sheila,Ready For The World,1
2021-04-16,21,Martika's Kitchen,Martika,1
2021-04-16,22,Baby Go-Go,Nona Hendryx,1
2021-04-16,23,Opposites Attract,Paula Abdul,1
2021-04-16,24,All Night Long,Lionel Richie,1
2021-04-16,25,Won't Talk About It,Beats International,1
2021-04-16,26,Steal My Sunshine,LEN,1
2021-04-16,27,Crash,The Primitives,1
2021-04-16,28,I’m Gonna Be (500 Miles),The Proclaimers,1
2021-04-16,29,Drinking in L.A.,Bran Van 3000,1
2021-04-16,30,Hey Pretty (Drive-By 2001 Mix),Poe,1
2021-04-16,31,Californication,Red Hot Chili Peppers,1
2021-04-16,32,Thunder,"Prince, The New Power Generation",1
2021-04-16,32,I Monster,The Blue Wrath,1
